Date;Time;Turbidity
2015-04-10;3:14:49;344.75
2015-04-10;3:16:49;342.51
2015-04-10;3:18:49;366.59
2015-04-10;3:20:49;400.71
2015-04-10;3:22:49;334.43
2015-04-10;3:24:49;342.30
2015-04-10;3:26:49;345.95
2015-04-10;3:28:49;432.45
2015-04-10;3:30:49;351.80
2015-04-10;3:32:49;385.25
2015-04-10;3:34:49;381.98
2015-04-10;3:36:49;420.82
2015-04-10;3:38:49;395.99
2015-04-10;3:40:49;407.52
2015-04-10;3:42:49;396.03
2015-04-10;3:44:49;445.86
2015-04-10;3:46:49;431.17
2015-04-10;3:48:49;475.96
2015-04-10;3:50:49;490.47
2015-04-10;3:52:49;434.58
2015-04-10;3:54:49;426.49
2015-04-10;3:56:49;452.95
2015-04-10;3:58:49;455.54
2015-04-10;4:00:49;577.46
2015-04-10;4:02:49;380.57
2015-04-10;4:04:49;401.92
2015-04-10;4:06:49;374.22
2015-04-10;4:08:49;377.41
2015-04-10;4:10:49;368.15
2015-04-10;4:12:49;359.75
2015-04-10;4:14:49;373.86
2015-04-10;4:16:49;400.53
2015-04-10;4:18:49;351.88
2015-04-10;4:20:49;360.07
2015-04-10;4:22:49;347.97
2015-04-10;4:24:49;368.47
2015-04-10;4:26:49;376.06
2015-04-10;4:28:49;368.26
2015-04-10;4:30:49;325.63
2015-04-10;4:32:49;354.46
2015-04-10;4:34:49;343.12
2015-04-10;4:36:49;380.10
2015-04-10;4:38:49;292.44
2015-04-10;4:40:49;313.57
2015-04-10;4:42:49;298.29
2015-04-10;4:44:49;312.58
2015-04-10;4:46:49;311.20
2015-04-10;4:48:49;320.21
2015-04-10;4:50:49;400.35
2015-04-10;4:52:49;339.50
2015-04-10;4:54:49;311.30
2015-04-10;4:56:49;288.39
2015-04-10;4:58:49;269.88
2015-04-10;5:00:49;284.81
2015-04-10;5:02:49;271.23
2015-04-10;5:04:49;286.73
2015-04-10;5:06:49;262.79
2015-04-10;5:08:49;281.66
2015-04-10;5:10:49;274.03
2015-04-10;5:12:49;317.30
2015-04-10;5:14:49;258.46
2015-04-10;5:16:49;243.85
2015-04-10;5:18:49;262.12
2015-04-10;5:20:49;246.87
2015-04-10;5:22:49;256.12
2015-04-10;5:24:49;223.28
2015-04-10;5:26:49;249.70
2015-04-10;5:28:49;247.15
2015-04-10;5:30:49;251.44
2015-04-10;5:32:49;223.81
2015-04-10;5:34:49;215.30
2015-04-10;5:36:49;223.57
2015-04-10;5:38:49;223.00
2015-04-10;5:40:49;220.23
2015-04-10;5:42:49;201.47
2015-04-10;5:44:49;202.36
2015-04-10;5:46:49;196.58
2015-04-10;5:48:49;196.90
2015-04-10;5:50:49;203.56
2015-04-10;5:52:49;242.82
2015-04-10;5:54:49;210.94
2015-04-10;5:56:49;214.03
2015-04-10;5:58:49;208.42
